ID,State,Name,Category,Income,Qualification,Eligible Courses,Preference,Minimum Qualification,Description,Type,Award Amount,Duration,Application Deadline,Selection Process
245,Odisha,Development Arts Scholarship by Mahatma Gandhi Trust,all,500000,HSC,Ph,the SEBC category,58% in Class 12 or equivalent,Development Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 95631 per year.,Corporate,INR 95631,2 years,6th August 2025,Not Specified (likely Need-Based)
246,Chhattisgarh,Merit Engineering Scholarship by Tata Foundation,OBC,250000,Engineering,Medical,the ST category,79% in Class 12 or equivalent,Merit Engineering Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 137967 per year.,International,INR 137967,3 years,18th July 2025,Not Specified (likely Need-Based)
247,Uttar Pradesh,Innovation Social Sciences Scholarship by Indian Government,all,1500000,Engineering,Ph,the EWS category,87% in Class 12 or equivalent,Innovation Social Sciences Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 110828 per year.,NGO,INR 110828,3 years,10th July 2025,Not Specified (likely Need-Based)
248,Tamil Nadu,Development Medical Scholarship by Tata Foundation,ST,750000,Engineering,Post-Graduation,the Minority category,74% in Class 12 or equivalent,Development Medical Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 86167 per year.,International,INR 86167,3 years,9th August 2025,Not Specified (likely Need-Based)
249,Karnataka,Research Law Scholarship by Indian Education Trust,Minority,500000,Graduation,Ph,the EWS category,64% in Class 12 or equivalent,Research Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 13248 per year.,Private,INR 13248,3 years,23th July 2025,Not Specified (likely Need-Based)
250,Andhra Pradesh,Community Agriculture Scholarship by IIT Foundation,OBC,250000,Medical,Diploma,the SC category,62% in Class 12 or equivalent,Community Agriculture Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 26189 per year.,Private,INR 26189,1 years,28th September 2025,Not Specified (likely Need-Based)
251,Chhattisgarh,Merit STEM Scholarship by Ambani Institute,SEBC,0,Diploma,Medical,the OBC category,55% in Class 12 or equivalent,Merit STEM Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 84671 per year.,NGO,INR 84671,4 years,13th July 2025,Not Specified (likely Need-Based)
252,Gujarat,Community Engineering Scholarship by Indian Government,EWS,500000,HSC,Medical,the SC category,81% in Class 12 or equivalent,Community Engineering Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 29780 per year.,Corporate,INR 29780,1 years,7th July 2025,Not Specified (likely Need-Based)
253,Bihar,Empowerment Economics Scholarship by Bharti Enterprises,OBC,500000,Diploma,Diploma,the SEBC category,58% in Class 12 or equivalent,Empowerment Economics Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 24238 per year.,NGO,INR 24238,1 years,23th July 2025,Not Specified (likely Need-Based)
254,Chhattisgarh,Research Economics Scholarship by Ambani Institute,SC,0,Ph.D.,HSC,the Minority category,70% in Class 12 or equivalent,Research Economics Scholarship by Ambani Institute provides financial assistance to students in SC category. The award amount is INR 136443 per year.,Private,INR 136443,4 years,4th July 2025,Not Specified (likely Need-Based)
255,Madhya Pradesh,Community Medical Scholarship by Mahatma Gandhi Trust,SEBC,750000,Graduation,Ph,the OBC category,76% in Class 12 or equivalent,Community Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SEBC category. The award amount is INR 126313 per year.,International,INR 126313,1 years,28th July 2025,Not Specified (likely Need-Based)
256,Bihar,Diversity Engineering Scholarship by Dr. APJ Abdul Kalam Foundation,General,1000000,Graduation,HSC,the SEBC category,73% in Class 12 or equivalent,Diversity Engineering Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 124958 per year.,Corporate,INR 124958,4 years,20th June 2025,Not Specified (likely Need-Based)
257,Assam,Global Economics Scholarship by Mahatma Gandhi Trust,SC,1000000,Diploma,Engineering,the OBC category,59% in Class 12 or equivalent,Global Economics Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 25850 per year.,NGO,INR 25850,4 years,8th July 2025,Not Specified (likely Need-Based)
258,Telangana,Merit Arts Scholarship by Indian Education Trust,SC,0,Engineering,Diploma,the SEBC category,78% in Class 12 or equivalent,Merit Arts Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 73553 per year.,Private,INR 73553,3 years,19th September 2025,Not Specified (likely Need-Based)
259,Andhra Pradesh,Innovation Law Scholarship by IIT Foundation,SEBC,750000,HSC,Graduation,the SEBC category,83% in Class 12 or equivalent,Innovation Law Scholarship by IIT Foundation provides financial assistance to students in SEBC category. The award amount is INR 25254 per year.,International,INR 25254,1 years,8th August 2025,Not Specified (likely Need-Based)
260,Jharkhand,Sustainability Agriculture Scholarship by Indian Government,Minority,750000,Post-Graduation,Ph,the all category,77% in Class 12 or equivalent,Sustainability Agriculture Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 14700 per year.,Private,INR 14700,4 years,9th July 2025,Not Specified (likely Need-Based)
261,Punjab,Diversity Engineering Scholarship by Indian Education Trust,General,0,Medical,HSC,the OBC category,85% in Class 12 or equivalent,Diversity Engineering Scholarship by Indian Education Trust provides financial assistance to students in General category. The award amount is INR 6523 per year.,International,INR 6523,2 years,14th June 2025,Not Specified (likely Need-Based)
262,Assam,Youth STEM Scholarship by Tata Foundation,SC,0,HSC,Medical,the ST category,57% in Class 12 or equivalent,Youth STEM Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 74715 per year.,Corporate,INR 74715,3 years,30th September 2025,Not Specified (likely Need-Based)
263,Delhi,Sustainability Medical Scholarship by Dr. APJ Abdul Kalam Foundation,EWS,250000,Graduation,Ph,the SC category,59% in Class 12 or equivalent,Sustainability Medical Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in EWS category. The award amount is INR 98954 per year.,Private,INR 98954,3 years,15th June 2025,Not Specified (likely Need-Based)
264,Rajasthan,Global Engineering Scholarship by IIT Foundation,General,1500000,HSC,Graduation,the General category,60% in Class 12 or equivalent,Global Engineering Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 8933 per year.,NGO,INR 8933,4 years,24th June 2025,Not Specified (likely Need-Based)
265,Maharashtra,Leadership Arts Scholarship by Ambani Institute,SC,750000,Ph.D.,Ph,the OBC category,64% in Class 12 or equivalent,Leadership Arts Scholarship by Ambani Institute provides financial assistance to students in SC category. The award amount is INR 144453 per year.,Corporate,INR 144453,4 years,14th September 2025,Not Specified (likely Need-Based)
266,Karnataka,Empowerment Medical Scholarship by Indian Education Trust,ST,1000000,Graduation,Medical,the SEBC category,50% in Class 12 or equivalent,Empowerment Medical Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 147574 per year.,NGO,INR 147574,3 years,22th August 2025,Not Specified (likely Need-Based)
267,Delhi,Diversity Engineering Scholarship by Indian Government,SC,250000,Medical,Engineering,the EWS category,77% in Class 12 or equivalent,Diversity Engineering Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 108538 per year.,International,INR 108538,2 years,2th September 2025,Not Specified (likely Need-Based)
268,Delhi,Merit Social Sciences Scholarship by Ambani Institute,General,1500000,Diploma,Ph,the ST category,71% in Class 12 or equivalent,Merit Social Sciences Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 50740 per year.,Private,INR 50740,1 years,8th July 2025,Not Specified (likely Need-Based)
269,Kerala,Diversity Social Sciences Scholarship by Indian Government,OBC,750000,Ph.D.,Medical,the ST category,70% in Class 12 or equivalent,Diversity Social Sciences Scholarship by Indian Government provides financial assistance to students in OBC category. The award amount is INR 128959 per year.,NGO,INR 128959,3 years,25th July 2025,Not Specified (likely Need-Based)
270,Haryana,Development Engineering Scholarship by Mahatma Gandhi Trust,SC,500000,HSC,Diploma,the SC category,76% in Class 12 or equivalent,Development Engineering Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 93462 per year.,Private,INR 93462,4 years,23th September 2025,Not Specified (likely Need-Based)
271,Telangana,Youth Literature Scholarship by Tata Foundation,Minority,1000000,Graduation,HSC,the General category,82% in Class 12 or equivalent,Youth Literature Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 98850 per year.,Government,INR 98850,1 years,3th July 2025,Not Specified (likely Need-Based)
272,Gujarat,Innovation Medical Scholarship by Indian Government,SC,1500000,Diploma,Ph,the OBC category,89% in Class 12 or equivalent,Innovation Medical Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 88037 per year.,International,INR 88037,4 years,3th July 2025,Not Specified (likely Need-Based)
273,Punjab,Empowerment STEM Scholarship by IIT Foundation,SEBC,1000000,HSC,Diploma,the OBC category,72% in Class 12 or equivalent,Empowerment STEM Scholarship by IIT Foundation provides financial assistance to students in SEBC category. The award amount is INR 110695 per year.,Corporate,INR 110695,1 years,1th August 2025,Not Specified (likely Need-Based)
274,Tamil Nadu,Sustainability Law Scholarship by Indian Education Trust,ST,0,Post-Graduation,Ph,the EWS category,69% in Class 12 or equivalent,Sustainability Law Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 127157 per year.,NGO,INR 127157,4 years,16th July 2025,Not Specified (likely Need-Based)
275,Odisha,Leadership Medical Scholarship by Tata Foundation,Minority,500000,HSC,Engineering,the Minority category,81% in Class 12 or equivalent,Leadership Medical Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 27238 per year.,Corporate,INR 27238,2 years,20th July 2025,Not Specified (likely Need-Based)
276,Odisha,Global Law Scholarship by Mahatma Gandhi Trust,SC,1500000,Graduation,Engineering,the General category,81% in Class 12 or equivalent,Global Law Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 58747 per year.,Government,INR 58747,3 years,29th July 2025,Not Specified (likely Need-Based)
277,Delhi,Merit Entrepreneurship Scholarship by Tata Foundation,EWS,0,Diploma,Diploma,the General category,81% in Class 12 or equivalent,Merit Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 28846 per year.,Private,INR 28846,1 years,9th July 2025,Not Specified (likely Need-Based)
278,Andhra Pradesh,Research Agriculture Scholarship by Mahatma Gandhi Trust,EWS,500000,Medical,Post-Graduation,the General category,86% in Class 12 or equivalent,Research Agriculture Scholarship by Mahatma Gandhi Trust provides financial assistance to students in EWS category. The award amount is INR 48264 per year.,International,INR 48264,3 years,7th June 2025,Not Specified (likely Need-Based)
279,Bihar,Research Medical Scholarship by Dr. APJ Abdul Kalam Foundation,ST,1000000,Post-Graduation,Post-Graduation,the SC category,65% in Class 12 or equivalent,Research Medical Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in ST category. The award amount is INR 23832 per year.,International,INR 23832,1 years,18th June 2025,Not Specified (likely Need-Based)
280,Assam,Merit Entrepreneurship Scholarship by Mahatma Gandhi Trust,all,0,Diploma,Graduation,the EWS category,62% in Class 12 or equivalent,Merit Entrepreneurship Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 135389 per year.,NGO,INR 135389,1 years,4th August 2025,Not Specified (likely Need-Based)
281,Chhattisgarh,Leadership Social Sciences Scholarship by Indian Government,General,1000000,Medical,HSC,the Minority category,88% in Class 12 or equivalent,Leadership Social Sciences Scholarship by Indian Government provides financial assistance to students in General category. The award amount is INR 66268 per year.,NGO,INR 66268,1 years,15th June 2025,Not Specified (likely Need-Based)
282,Bihar,Research Social Sciences Scholarship by Mahatma Gandhi Trust,ST,1000000,HSC,Engineering,the SC category,66% in Class 12 or equivalent,Research Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in ST category. The award amount is INR 138783 per year.,International,INR 138783,2 years,4th June 2025,Not Specified (likely Need-Based)
283,Gujarat,Sustainability Engineering Scholarship by Indian Education Trust,General,1000000,HSC,Graduation,the all category,90% in Class 12 or equivalent,Sustainability Engineering Scholarship by Indian Education Trust provides financial assistance to students in General category. The award amount is INR 140724 per year.,Private,INR 140724,2 years,14th August 2025,Not Specified (likely Need-Based)
284,Rajasthan,Development STEM Scholarship by Ambani Institute,SC,250000,Graduation,Ph,the General category,90% in Class 12 or equivalent,Development STEM Scholarship by Ambani Institute provides financial assistance to students in SC category. The award amount is INR 74080 per year.,Corporate,INR 74080,2 years,28th July 2025,Not Specified (likely Need-Based)
285,Telangana,Youth STEM Scholarship by Mahatma Gandhi Trust,OBC,1500000,Diploma,Ph,the SEBC category,53% in Class 12 or equivalent,Youth STEM Scholarship by Mahatma Gandhi Trust provides financial assistance to students in OBC category. The award amount is INR 41158 per year.,NGO,INR 41158,3 years,14th June 2025,Not Specified (likely Need-Based)
286,Chhattisgarh,Community Literature Scholarship by IIT Foundation,Minority,1000000,Medical,Medical,the Minority category,65% in Class 12 or equivalent,Community Literature Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 133576 per year.,NGO,INR 133576,1 years,17th September 2025,Not Specified (likely Need-Based)
287,Punjab,Development Entrepreneurship Scholarship by IIT Foundation,SEBC,1500000,Diploma,Diploma,the SC category,90% in Class 12 or equivalent,Development Entrepreneurship Scholarship by IIT Foundation provides financial assistance to students in SEBC category. The award amount is INR 25126 per year.,Corporate,INR 25126,4 years,15th September 2025,Not Specified (likely Need-Based)
288,Madhya Pradesh,Leadership Law Scholarship by Indian Education Trust,EWS,0,Graduation,Medical,the all category,79% in Class 12 or equivalent,Leadership Law Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 58895 per year.,International,INR 58895,2 years,6th September 2025,Not Specified (likely Need-Based)
289,Bihar,Merit Economics Scholarship by Tata Foundation,Minority,1500000,Medical,HSC,the SEBC category,78% in Class 12 or equivalent,Merit Economics Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 42710 per year.,Private,INR 42710,2 years,4th August 2025,Not Specified (likely Need-Based)
290,Bihar,Research Literature Scholarship by Indian Science Society,SEBC,500000,HSC,Medical,the General category,59% in Class 12 or equivalent,Research Literature Scholarship by Indian Science Society provides financial assistance to students in SEBC category. The award amount is INR 53751 per year.,Private,INR 53751,2 years,25th September 2025,Not Specified (likely Need-Based)
291,Kerala,Diversity STEM Scholarship by Ambani Institute,Minority,250000,Medical,Diploma,the General category,53% in Class 12 or equivalent,Diversity STEM Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 79136 per year.,Corporate,INR 79136,3 years,22th July 2025,Not Specified (likely Need-Based)
292,Punjab,Excellence Entrepreneurship Scholarship by Indian Government,Minority,1500000,Graduation,HSC,the all category,87% in Class 12 or equivalent,Excellence Entrepreneurship Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 47706 per year.,NGO,INR 47706,4 years,15th August 2025,Not Specified (likely Need-Based)
293,Delhi,Research Arts Scholarship by Ambani Institute,OBC,500000,Post-Graduation,Ph,the OBC category,68% in Class 12 or equivalent,Research Arts Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 106768 per year.,Private,INR 106768,4 years,7th June 2025,Not Specified (likely Need-Based)
294,Maharashtra,Diversity Engineering Scholarship by Tata Foundation,General,250000,Graduation,Post-Graduation,the General category,62% in Class 12 or equivalent,Diversity Engineering Scholarship by Tata Foundation provides financial assistance to students in General category. The award amount is INR 125582 per year.,Corporate,INR 125582,1 years,14th June 2025,Not Specified (likely Need-Based)
295,Bihar,Research Engineering Scholarship by Mahatma Gandhi Trust,Minority,750000,Graduation,Diploma,the ST category,88% in Class 12 or equivalent,Research Engineering Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 46319 per year.,Private,INR 46319,4 years,6th June 2025,Not Specified (likely Need-Based)
296,Chhattisgarh,Development Social Sciences Scholarship by Bharti Enterprises,General,750000,Engineering,Post-Graduation,the OBC category,83% in Class 12 or equivalent,Development Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 137162 per year.,Corporate,INR 137162,1 years,25th July 2025,Not Specified (likely Need-Based)
297,Delhi,Excellence Literature Scholarship by Ambani Institute,SC,1000000,Post-Graduation,Medical,the OBC category,88% in Class 12 or equivalent,Excellence Literature Scholarship by Ambani Institute provides financial assistance to students in SC category. The award amount is INR 128009 per year.,NGO,INR 128009,1 years,23th July 2025,Not Specified (likely Need-Based)
298,Haryana,Merit Medical Scholarship by Tata Foundation,SEBC,500000,Engineering,Graduation,the EWS category,75% in Class 12 or equivalent,Merit Medical Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 42456 per year.,Corporate,INR 42456,3 years,28th July 2025,Not Specified (likely Need-Based)
299,Assam,Global Medical Scholarship by IIT Foundation,Minority,1000000,Ph.D.,Post-Graduation,the SEBC category,83% in Class 12 or equivalent,Global Medical Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 88721 per year.,NGO,INR 88721,4 years,23th July 2025,Not Specified (likely Need-Based)
300,Rajasthan,Leadership Engineering Scholarship by Indian Education Trust,OBC,1000000,Graduation,Diploma,the EWS category,78% in Class 12 or equivalent,Leadership Engineering Scholarship by Indian Education Trust provides financial assistance to students in OBC category. The award amount is INR 13340 per year.,Private,INR 13340,2 years,30th August 2025,Not Specified (likely Need-Based)
301,Haryana,Global Entrepreneurship Scholarship by Tata Foundation,SEBC,750000,Diploma,Graduation,the SC category,87% in Class 12 or equivalent,Global Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in SEBC category. The award amount is INR 56350 per year.,Private,INR 56350,3 years,3th July 2025,Not Specified (likely Need-Based)
302,Odisha,Community Economics Scholarship by Dr. APJ Abdul Kalam Foundation,SC,1000000,Post-Graduation,Ph,the General category,68% in Class 12 or equivalent,Community Economics Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 19311 per year.,Private,INR 19311,2 years,9th August 2025,Not Specified (likely Need-Based)
303,Bihar,Excellence Entrepreneurship Scholarship by Indian Government,SC,1500000,HSC,Graduation,the General category,82% in Class 12 or equivalent,Excellence Entrepreneurship Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 134280 per year.,International,INR 134280,1 years,29th July 2025,Not Specified (likely Need-Based)
304,Maharashtra,Empowerment Medical Scholarship by IIT Foundation,ST,1000000,Diploma,HSC,the SEBC category,90% in Class 12 or equivalent,Empowerment Medical Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 23634 per year.,NGO,INR 23634,2 years,8th June 2025,Not Specified (likely Need-Based)
305,Rajasthan,Research Law Scholarship by Bharti Enterprises,EWS,1500000,Ph.D.,Post-Graduation,the ST category,75% in Class 12 or equivalent,Research Law Scholarship by Bharti Enterprises provides financial assistance to students in EWS category. The award amount is INR 62841 per year.,NGO,INR 62841,4 years,19th July 2025,Not Specified (likely Need-Based)
306,Gujarat,Diversity Arts Scholarship by Tata Foundation,SC,1000000,Ph.D.,Medical,the SEBC category,76% in Class 12 or equivalent,Diversity Arts Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 60798 per year.,Private,INR 60798,1 years,13th September 2025,Not Specified (likely Need-Based)
307,Odisha,Leadership Economics Scholarship by Dr. APJ Abdul Kalam Foundation,ST,1000000,Diploma,Graduation,the SEBC category,67% in Class 12 or equivalent,Leadership Economics Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in ST category. The award amount is INR 26833 per year.,NGO,INR 26833,4 years,23th August 2025,Not Specified (likely Need-Based)
308,West Bengal,Community Social Sciences Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1000000,Graduation,Graduation,the SEBC category,85% in Class 12 or equivalent,Community Social Sciences Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 125834 per year.,International,INR 125834,3 years,23th June 2025,Not Specified (likely Need-Based)
309,Gujarat,Development Literature Scholarship by Tata Foundation,Minority,750000,HSC,Ph,the OBC category,80% in Class 12 or equivalent,Development Literature Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 117299 per year.,Government,INR 117299,3 years,20th June 2025,Not Specified (likely Need-Based)
310,Gujarat,Innovation Arts Scholarship by Indian Education Trust,Minority,500000,Graduation,Diploma,the OBC category,58% in Class 12 or equivalent,Innovation Arts Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 44886 per year.,Private,INR 44886,1 years,24th September 2025,Not Specified (likely Need-Based)
311,Uttarakhand,Youth STEM Scholarship by Indian Science Society,SC,250000,Engineering,Ph,the ST category,63% in Class 12 or equivalent,Youth STEM Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 17398 per year.,International,INR 17398,2 years,18th July 2025,Not Specified (likely Need-Based)
312,Maharashtra,Youth STEM Scholarship by Mahatma Gandhi Trust,all,500000,Ph.D.,Ph,the OBC category,78% in Class 12 or equivalent,Youth STEM Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 110870 per year.,NGO,INR 110870,4 years,26th June 2025,Not Specified (likely Need-Based)
313,Tamil Nadu,Global Medical Scholarship by Ambani Institute,OBC,1000000,Graduation,Engineering,the all category,86% in Class 12 or equivalent,Global Medical Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 140884 per year.,Government,INR 140884,4 years,23th September 2025,Not Specified (likely Need-Based)
314,Chhattisgarh,Youth Agriculture Scholarship by Mahatma Gandhi Trust,Minority,1000000,HSC,Engineering,the EWS category,57% in Class 12 or equivalent,Youth Agriculture Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 129446 per year.,Corporate,INR 129446,2 years,24th September 2025,Not Specified (likely Need-Based)
315,West Bengal,Youth Engineering Scholarship by Dr. APJ Abdul Kalam Foundation,General,500000,Graduation,Graduation,the OBC category,71% in Class 12 or equivalent,Youth Engineering Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 12523 per year.,International,INR 12523,3 years,6th July 2025,Not Specified (likely Need-Based)
316,Gujarat,Innovation Engineering Scholarship by Indian Science Society,SC,0,Graduation,Ph,the EWS category,56% in Class 12 or equivalent,Innovation Engineering Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 45226 per year.,Corporate,INR 45226,1 years,30th September 2025,Not Specified (likely Need-Based)
317,Chhattisgarh,Sustainability STEM Scholarship by Tata Foundation,Minority,0,Medical,HSC,the all category,90% in Class 12 or equivalent,Sustainability STEM Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 74219 per year.,International,INR 74219,4 years,23th August 2025,Not Specified (likely Need-Based)
318,Maharashtra,Excellence Engineering Scholarship by IIT Foundation,all,1500000,Engineering,Ph,the all category,62% in Class 12 or equivalent,Excellence Engineering Scholarship by IIT Foundation provides financial assistance to students in all category. The award amount is INR 108009 per year.,NGO,INR 108009,2 years,18th September 2025,Not Specified (likely Need-Based)
319,Chhattisgarh,Empowerment Law Scholarship by JNU Research,OBC,0,Medical,Diploma,the all category,72% in Class 12 or equivalent,Empowerment Law Scholarship by JNU Research provides financial assistance to students in OBC category. The award amount is INR 35001 per year.,Private,INR 35001,2 years,10th June 2025,Not Specified (likely Need-Based)
320,Uttarakhand,Development Literature Scholarship by Dr. APJ Abdul Kalam Foundation,all,1500000,Diploma,Diploma,the Minority category,68% in Class 12 or equivalent,Development Literature Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in all category. The award amount is INR 110849 per year.,International,INR 110849,3 years,13th July 2025,Not Specified (likely Need-Based)
321,Maharashtra,Leadership Law Scholarship by JNU Research,all,750000,Medical,Medical,the all category,52% in Class 12 or equivalent,Leadership Law Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 112704 per year.,International,INR 112704,4 years,17th July 2025,Not Specified (likely Need-Based)
322,Tamil Nadu,Youth Law Scholarship by Dr. APJ Abdul Kalam Foundation,General,500000,Diploma,Diploma,the SC category,77% in Class 12 or equivalent,Youth Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 106107 per year.,NGO,INR 106107,1 years,22th August 2025,Not Specified (likely Need-Based)
323,West Bengal,Community Law Scholarship by Ambani Institute,EWS,250000,Engineering,Post-Graduation,the SC category,74% in Class 12 or equivalent,Community Law Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 63006 per year.,NGO,INR 63006,4 years,25th August 2025,Not Specified (likely Need-Based)
324,Madhya Pradesh,Community Medical Scholarship by Bharti Enterprises,EWS,500000,Post-Graduation,Diploma,the Minority category,54% in Class 12 or equivalent,Community Medical Scholarship by Bharti Enterprises provides financial assistance to students in EWS category. The award amount is INR 115989 per year.,International,INR 115989,4 years,27th July 2025,Not Specified (likely Need-Based)
325,Telangana,Diversity Law Scholarship by Indian Science Society,ST,500000,HSC,Engineering,the EWS category,76% in Class 12 or equivalent,Diversity Law Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 79745 per year.,Government,INR 79745,1 years,2th June 2025,Not Specified (likely Need-Based)
326,Tamil Nadu,Merit Literature Scholarship by JNU Research,SC,250000,HSC,Ph,the all category,77% in Class 12 or equivalent,Merit Literature Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 13902 per year.,Government,INR 13902,3 years,28th September 2025,Not Specified (likely Need-Based)
327,Bihar,Research Agriculture Scholarship by Ambani Institute,EWS,0,Engineering,Ph,the Minority category,56% in Class 12 or equivalent,Research Agriculture Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 14115 per year.,NGO,INR 14115,2 years,9th June 2025,Not Specified (likely Need-Based)
328,West Bengal,Excellence Literature Scholarship by IIT Foundation,ST,1000000,Ph.D.,Ph,the SC category,52% in Class 12 or equivalent,Excellence Literature Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 92237 per year.,Corporate,INR 92237,4 years,11th September 2025,Not Specified (likely Need-Based)
329,Jharkhand,Development Literature Scholarship by Indian Education Trust,OBC,0,Diploma,Engineering,the Minority category,62% in Class 12 or equivalent,Development Literature Scholarship by Indian Education Trust provides financial assistance to students in OBC category. The award amount is INR 60545 per year.,Government,INR 60545,2 years,8th September 2025,Not Specified (likely Need-Based)
330,Andhra Pradesh,Research Law Scholarship by Ambani Institute,EWS,1000000,HSC,HSC,the SC category,66% in Class 12 or equivalent,Research Law Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 106114 per year.,International,INR 106114,4 years,13th August 2025,Not Specified (likely Need-Based)
331,Gujarat,Merit Literature Scholarship by Indian Science Society,General,500000,Ph.D.,Medical,the EWS category,51% in Class 12 or equivalent,Merit Literature Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 84587 per year.,Government,INR 84587,1 years,24th August 2025,Not Specified (likely Need-Based)
332,Rajasthan,Research Medical Scholarship by Mahatma Gandhi Trust,all,500000,Ph.D.,Engineering,the SC category,55% in Class 12 or equivalent,Research Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 33214 per year.,NGO,INR 33214,3 years,19th August 2025,Not Specified (likely Need-Based)
333,Bihar,Community Law Scholarship by IIT Foundation,SEBC,750000,HSC,Ph,the all category,84% in Class 12 or equivalent,Community Law Scholarship by IIT Foundation provides financial assistance to students in SEBC category. The award amount is INR 113378 per year.,Corporate,INR 113378,4 years,12th September 2025,Not Specified (likely Need-Based)
334,Telangana,Excellence Law Scholarship by Tata Foundation,Minority,1000000,HSC,Engineering,the ST category,69% in Class 12 or equivalent,Excellence Law Scholarship by Tata Foundation provides financial assistance to students in Minority category. The award amount is INR 47294 per year.,Private,INR 47294,3 years,15th July 2025,Not Specified (likely Need-Based)
